,name,wikidata,dates,gender,citizenship,birthplace,birth country,geographical coordinates birthplace,place of death,country of death,geographical coordinates place of death,language,instrument
73,Thomas Lupo,http://www.wikidata.org/entity/Q353855,1571-1628,male,United Kingdom of Great Britain and Ireland,London,United Kingdom,Point(-0.1275 51.507222222),London,United Kingdom,Point(-0.1275 51.507222222),,viol
74,Thomas Ford,http://www.wikidata.org/entity/Q354266,1580-1648,male,England,,,,London,United Kingdom,Point(-0.1275 51.507222222),English,viol
75,Vincenzo Galilei,http://www.wikidata.org/entity/Q313765,1520-1591,male,"['Grand Duchy of Tuscany', 'Duchy of Florence']",Santa Maria a Monte,Italy,Point(10.683333333 43.7),Florence,Italy,Point(11.254166666 43.771388888),Italian,lute
76,Josquin des Prez,http://www.wikidata.org/entity/Q143100,1450-1521,male,"['France', 'Habsburg Netherlands']",Vermandois,France,Point(3.28333333 49.85),Condé-sur-l'Escaut,France,Point(3.590555555 50.449166666),French,
77,Luca Marenzio,http://www.wikidata.org/entity/Q316532,1553-1599,male,"['Republic of Venice', 'Papal States']",Coccaglio,Italy,Point(9.978333333 45.563333333),Rome,Italy,Point(12.482777777 41.893055555),Italian,
78,Heinrich Isaac,http://www.wikidata.org/entity/Q316668,1450-1517,male,County of Flanders,Flanders,Belgium,Point(4.5 51.0),Florence,Italy,Point(11.254166666 43.771388888),Latin,organ
79,Valentin Haussmann,http://www.wikidata.org/entity/Q249689,1560-1614,male,Germany,Gerbstedt,Germany,Point(11.616666666 51.633055555),Gerbstedt,Germany,Point(11.616666666 51.633055555),German,pipe organ
80,Daniel Friderici,http://www.wikidata.org/entity/Q322254,1584-1638,male,Germany,Querfurt,Germany,Point(11.6 51.383333333),Rostock,Germany,Point(12.133333333 54.083333333),German,
81,Biagio Marini,http://www.wikidata.org/entity/Q110224592,1587-1663,,,,,,,,,,
82,Hans Leo Hassler,http://www.wikidata.org/entity/Q164882,1564-1612,male,Germany,Nuremberg,Germany,Point(11.0775 49.453888888),Frankfurt am Main,Germany,Point(8.682222222 50.110555555),German,organ
83,Johannes Jeep,http://www.wikidata.org/entity/Q428075,1581-1644,male,Germany,Dransfeld,Germany,Point(9.766666666 51.5),Hanau,Germany,Point(8.916944444 50.132777777),German,organ
84,Carlo Gesualdo,http://www.wikidata.org/entity/Q192958,1560-1613,male,Kingdom of Naples,Naples,Italy,Point(14.25 40.833333333),Gesualdo,Italy,Point(15.073333333 41.007777777),Italian,lute
85,Stefano Felis,http://www.wikidata.org/entity/Q431549,1550-1603,male,,Bari,Italy,Point(16.866666666 41.125277777),Bari,Italy,Point(16.866666666 41.125277777),,
86,Luzzasco Luzzaschi,http://www.wikidata.org/entity/Q445581,1544-1607,male,,Ferrara,Italy,Point(11.619865 44.835297),Ferrara,Italy,Point(11.619865 44.835297),Italian,pipe organ
87,Girolamo Frescobaldi,http://www.wikidata.org/entity/Q209212,1583-1643,male,"['Papal States', 'Duchy of Ferrara']",Ferrara,Italy,Point(11.619865 44.835297),Rome,Italy,Point(12.482777777 41.893055555),Italian,"['organ', 'harpsichord']"
88,John Farmer,http://www.wikidata.org/entity/Q1335446,1570-1591,male,United Kingdom of Great Britain and Ireland,Nottingham,United Kingdom,Point(-1.149166666 52.955),Oxford,United Kingdom,Point(-1.257777777 51.751944444),,
89,Andrea Gabrieli,http://www.wikidata.org/entity/Q217317,1533-1585,male,Republic of Venice,Venice,Italy,Point(12.331944444 45.439722222),Venice,Italy,Point(12.331944444 45.439722222),Italian,organ
90,Gioseffo Guami,http://www.wikidata.org/entity/Q610708,1540-1611,male,,Lucca,Italy,Point(10.516666666 43.85),Lucca,Italy,Point(10.516666666 43.85),,"['violin', 'pipe organ']"
91,Francisco Guerrero,http://www.wikidata.org/entity/Q470568,1528-1599,male,Crown of Castile,Seville,Spain,Point(-5.983333333 37.383333333),Seville,Spain,Point(-5.983333333 37.383333333),Spanish,organ
92,Marco da Gagliano,http://www.wikidata.org/entity/Q540638,1582-1643,male,,Florence,Italy,Point(11.254166666 43.771388888),Florence,Italy,Point(11.254166666 43.771388888),Italian,
93,Andreas Hammerschmidt,http://www.wikidata.org/entity/Q497864,1612-1675,male,Germany,Most,Czech Republic,Point(13.636666666 50.503055555),Zittau,Germany,Point(14.807222222 50.896111111),German,"['organ', 'pipe organ']"
94,Leonhard Lechner,http://www.wikidata.org/entity/Q683132,1553-1606,male,Germany,South Tyrol,Italy,Point(11.33333334 46.50000001),Stuttgart,Germany,Point(9.18 48.7775),German,
95,Costanzo Festa,http://www.wikidata.org/entity/Q937584,1490-1545,male,,Piedmont,Italy,Point(7.916666666 45.25),Rome,Italy,Point(12.482777777 41.893055555),Italian,
96,Alessandro Grandi,http://www.wikidata.org/entity/Q948575,1590-1630,male,Republic of Venice,Ferrara,Italy,Point(11.619865 44.835297),Bergamo,Italy,Point(9.67 45.695),Italian,
97,Giovanni Giacomo Gastoldi,http://www.wikidata.org/entity/Q964231,1582-1609,male,,Caravaggio,Italy,Point(9.643055555 45.497777777),Mantua,Italy,Point(10.791111111 45.156388888),Italian,voice
98,John Hilton the younger,http://www.wikidata.org/entity/Q1289313,1599-1657,male,United Kingdom of Great Britain and Ireland,Cambridge,United Kingdom,Point(0.1225 52.208055555),Westminster,United Kingdom,Point(-0.1333 51.4995),English,
99,Ruggiero Giovannelli,http://www.wikidata.org/entity/Q1369480,1560-1625,male,,Velletri,Italy,Point(12.783333333 41.666666666),Rome,Italy,Point(12.482777777 41.893055555),,
100,Giles Farnaby,http://www.wikidata.org/entity/Q1343764,1565-1640,male,England,London,United Kingdom,Point(-0.1275 51.507222222),City of London,United Kingdom,Point(-0.093055555 51.515555555),English,harpsichord
101,Anthony Holborne,http://www.wikidata.org/entity/Q1676220,1545-1602,male,Kingdom of England,,,,London,United Kingdom,Point(-0.1275 51.507222222),English,cittern
102,Giovanni de Macque,http://www.wikidata.org/entity/Q1403614,1550-1614,male,France,Valenciennes,France,Point(3.523333333 50.358055555),Naples,Italy,Point(14.25 40.833333333),French,organ
103,Giovanni Piero Manenti,http://www.wikidata.org/entity/Q1526316,1535-1597,male,,Bologna,Italy,Point(11.342777777 44.493888888),Florence,Italy,Point(11.254166666 43.771388888),,
104,Giovanni Pietro Flaccomio,http://www.wikidata.org/entity/Q1526322,1565-1617,male,,Milazzo,Italy,Point(15.237 38.217),Turin,Italy,Point(7.7 45.066666666),,
105,Simon Gintzler,http://www.wikidata.org/entity/Q1695832,1490-1547,male,Germany,South Tyrol,Italy,Point(11.33333334 46.50000001),Trento,Italy,Point(11.11666667 46.06666667),German,
106,Noé Faignient,http://www.wikidata.org/entity/Q2134295,1537-1578,male,,Cambrai,France,Point(3.234722222 50.175833333),Antwerp,Belgium,Point(4.399722222 51.221111111),,
107,George Kirbye,http://www.wikidata.org/entity/Q1997700,1565-1634,male,United Kingdom of Great Britain and Ireland,,,,,,,,
108,Robert Jones,http://www.wikidata.org/entity/Q18630239,1570-1617,male,,Monmouth,United Kingdom,Point(-2.72 51.81),,,,,organ
109,Jhan Gero,http://www.wikidata.org/entity/Q1657883,1518-1555,male,,,,,,,,,
110,Alfonso Fontanelli,http://www.wikidata.org/entity/Q2062267,1557-1622,male,,Reggio Emilia,Italy,Point(10.633333333 44.7),Rome,Italy,Point(12.482777777 41.893055555),Italian,
111,Giovanni Ghizzolo,http://www.wikidata.org/entity/Q3107205,1580-1625,male,,Brescia,Italy,Point(10.220280555 45.538888888),Novara,Italy,Point(8.616666666 45.45),Italian,
112,Giovanni Ferretti,http://www.wikidata.org/entity/Q3107173,1540-1609,male,Republic of Venice,Venice,Italy,Point(12.331944444 45.439722222),,,,,
113,Ellis Gibbons,http://www.wikidata.org/entity/Q3723541,1573-1603,male,United Kingdom of Great Britain and Ireland,Cambridge,United Kingdom,Point(0.1225 52.208055555),,,,,
114,Thomas Greaves,http://www.wikidata.org/entity/Q3990629,1604,male,United Kingdom of Great Britain and Ireland,,,,,,,,lute
115,Giacomo Fogliano,http://www.wikidata.org/entity/Q3805961,1468-1548,male,,Modena,Italy,Point(10.92572 44.64582),Modena,Italy,Point(10.92572 44.64582),,organ
116,John Holmes,http://www.wikidata.org/entity/Q3809346,1629,male,,,,,,,,,
117,Giulio Fiesco,http://www.wikidata.org/entity/Q5565265,1520-1586,male,,Ferrara,Italy,Point(11.619865 44.835297),Ferrara,Italy,Point(11.619865 44.835297),,
118,Edward Johnson,http://www.wikidata.org/entity/Q5343803,1545-1601,male,Kingdom of England,,,,,,,,
119,John Hilton the elder,http://www.wikidata.org/entity/Q6239329,1569-1608,male,Kingdom of England,,,,,,,English,"['pipe organ', 'voice']"
120,Maistre Jhan,http://www.wikidata.org/entity/Q6737089,1485-1538,male,France,,,,Ferrara,Italy,Point(11.619865 44.835297),,
121,Scipione Lacorcia,http://www.wikidata.org/entity/Q7434030,1585-1620,male,,Naples,Italy,Point(14.25 40.833333333),,,,Italian,
122,Sebastiano Festa,http://www.wikidata.org/entity/Q7442579,1495-1524,male,,,,,Rome,Italy,Point(12.482777777 41.893055555),,
123,Antonio Gualtieri,http://www.wikidata.org/entity/Q16054417,1649,male,Republic of Venice,,,,Venice,Italy,Point(12.331944444 45.439722222),,
124,Paolo Isnardi,http://www.wikidata.org/entity/Q16863445,1536-1596,male,,,,,Ferrara,Italy,Point(11.619865 44.835297),,
125,Gabriele Fallamero,http://www.wikidata.org/entity/Q112456781,1584,male,,,,,,,,,
126,Johann Lyttich,http://www.wikidata.org/entity/Q20003638,1581-1611,male,,Plauen,Germany,Point(12.138333333 50.495),,,,,
127,Camillo Lambardi,http://www.wikidata.org/entity/Q50316330,1560-1634,male,Kingdom of Naples,Naples,Italy,Point(14.25 40.833333333),Naples,Italy,Point(14.25 40.833333333),,
128,Andrea Feliciani,http://www.wikidata.org/entity/Q55227467,1596,male,,Siena,Italy,Point(11.331388888 43.318333333),Siena,Italy,Point(11.331388888 43.318333333),,
129,Thomas Hunt,http://www.wikidata.org/entity/Q99237806,1580-1658,male,,,,,,,,,
130,Giovan Battista Leonetti,http://www.wikidata.org/entity/Q107995775,1575-1617,male,,Crema,Italy,Point(9.683333333 45.366666666),Crema,Italy,Point(9.683333333 45.366666666),,
131,Girolamo Ferrari,http://www.wikidata.org/entity/Q113412847,1600-1664,male,,Mondondone,Italy,Point(9.0723 44.94717),,,,,
132,Henry Purcell,http://www.wikidata.org/entity/Q9695,1659-1695,male,Kingdom of England,Westminster,United Kingdom,Point(-0.1333 51.4995),Westminster,United Kingdom,Point(-0.1333 51.4995),English,"['harpsichord', 'pipe organ']"
133,Claudio Monteverdi,http://www.wikidata.org/entity/Q53068,1567-1643,male,Republic of Venice,Cremona,Italy,Point(10.033333333 45.133333333),Venice,Italy,Point(12.331944444 45.439722222),Italian,"['viol', 'pipe organ', 'viola da braccio']"
134,Girolamo Parabosco,http://www.wikidata.org/entity/Q29300,1524-1557,male,Republic of Venice,Piacenza,Italy,Point(9.7 45.05),Venice,Italy,Point(12.331944444 45.439722222),Italian,pipe organ
135,Giovanni Antonio Rigatti,http://www.wikidata.org/entity/Q142515,1615-1649,male,Republic of Venice,Venice,Italy,Point(12.331944444 45.439722222),Venice,Italy,Point(12.331944444 45.439722222),,
136,Cipriano de Rore,http://www.wikidata.org/entity/Q316074,1515-1565,male,Republic of Venice,Ronse,Belgium,Point(3.6 50.75),Parma,Italy,Point(10.328 44.801472222),Italian,
137,Claudio Merulo,http://www.wikidata.org/entity/Q380517,1533-1604,male,Republic of Venice,Correggio,Italy,Point(10.780555555 44.771666666),Parma,Italy,Point(10.328 44.801472222),Italian,"['organ', 'pipe organ']"
138,Jacob Regnart,http://www.wikidata.org/entity/Q267177,1540-1599,male,Southern Netherlands,Douai,France,Point(3.079166666 50.370833333),Prague,Czech Republic,Point(14.421388888 50.0875),Dutch,
139,Michael Praetorius,http://www.wikidata.org/entity/Q108278,1571-1621,male,Duchy of Brunswick-Lüneburg,Creuzburg,Germany,Point(10.244722222 51.051388888),Wolfenbüttel,Germany,Point(10.536944444 52.162222222),Latin,organ
140,Philippe de Monte,http://www.wikidata.org/entity/Q277029,1521-1603,male,Spanish Netherlands,Mechelen,Belgium,Point(4.480277777 51.028055555),Prague,Czech Republic,Point(14.421388888 50.0875),Dutch,
141,Thomas Morley,http://www.wikidata.org/entity/Q438141,1557-1603,male,"['England', 'Kingdom of England']",Norwich,United Kingdom,Point(1.299167 52.628056),London,United Kingdom,Point(-0.1275 51.507222222),English,"['organ', 'pipe organ']"
142,Francesco Rasi,http://www.wikidata.org/entity/Q363011,1574-1620,male,,Arezzo,Italy,Point(11.878055555 43.463055555),,,,Italian,voice
143,Salamone Rossi,http://www.wikidata.org/entity/Q713436,1570-1630,male,Duchy of Mantua,Mantua,Italy,Point(10.791111111 45.156388888),Mantua,Italy,Point(10.791111111 45.156388888),,violin
144,Thomas Ravenscroft,http://www.wikidata.org/entity/Q634595,1590-1633,male,United Kingdom of Great Britain and Ireland,Cheshire,United Kingdom,Point(-2.583333333 53.166666666),London,United Kingdom,Point(-0.1275 51.507222222),English,
145,Giovanni Bernardino Nanino,http://www.wikidata.org/entity/Q723537,1560-1623,male,,Vallerano,Italy,Point(12.264166666 42.385),Vallerano,Italy,Point(12.264166666 42.385),,organ
146,Asprilio Pacelli,http://www.wikidata.org/entity/Q738001,1570-1623,male,,Stroncone,Italy,Point(12.666666666 42.5),Warsaw,Poland,Point(21.011111111 52.23),Italian,
147,Mogens Pedersøn,http://www.wikidata.org/entity/Q962427,1585-1623,male,Denmark,Copenhagen,Denmark,Point(12.568888888 55.676111111),,,,,
148,Giovanni Maria Nanino,http://www.wikidata.org/entity/Q706287,1543-1607,male,,Tivoli,Italy,Point(12.8 41.966666666),Rome,Italy,Point(12.482777777 41.893055555),Italian,
149,Giovanni Battista Mosto,http://www.wikidata.org/entity/Q1119331,1549-1596,male,Republic of Venice,Udine,Italy,Point(13.233333333 46.066666666),Alba Iulia,Romania,Point(23.572777777 46.076388888),,
150,Marco Scacchi,http://www.wikidata.org/entity/Q1357654,1600-1687,male,,Gallese,Italy,Point(12.399722222 42.374444444),Gallese,Italy,Point(12.39646 42.37376),Italian,violin
151,Giovanni Priuli,http://www.wikidata.org/entity/Q1445743,1575-1629,male,Republic of Venice,Venice,Italy,Point(12.331944444 45.439722222),Vienna,Austria,Point(16.3725 48.208333333),"['German', 'Italian']",pipe organ
152,Vincenzo Ruffo,http://www.wikidata.org/entity/Q1494084,1508-1587,male,Republic of Venice,Verona,Italy,Point(10.992777777 45.438611111),Sacile,Italy,Point(12.50274 45.95412),,
153,Giovanni Rovetta,http://www.wikidata.org/entity/Q1526347,1596-1668,male,Republic of Venice,Venice,Italy,Point(12.331944444 45.439722222),Venice,Italy,Point(12.331944444 45.439722222),,organ
154,Andreas Pevernage,http://www.wikidata.org/entity/Q2159084,1543-1591,male,,Harelbeke,Belgium,Point(3.3131 50.8567),Antwerp,Belgium,Point(4.399722222 51.221111111),,
155,Francis Pilkington,http://www.wikidata.org/entity/Q2462847,1562-1638,male,Kingdom of England,,,,Chester,United Kingdom,Point(-2.883333333 53.2),English,lute
156,Mario Savioni,http://www.wikidata.org/entity/Q1899013,1608-1685,male,,Rome,Italy,Point(12.482777777 41.893055555),Rome,Italy,Point(12.482777777 41.893055555),,
157,Martino Pesenti,http://www.wikidata.org/entity/Q1905637,1600-1648,male,Republic of Venice,Venice,Italy,Point(12.331944444 45.439722222),Venice,Italy,Point(12.331944444 45.439722222),,organ
158,Melchior Neusidler,http://www.wikidata.org/entity/Q1919164,1531-1590,male,Germany,Nuremberg,Germany,Point(11.0775 49.453888888),Augsburg,Germany,Point(10.897777777 48.368888888),German,lute
159,Peter Philips,http://www.wikidata.org/entity/Q1930460,1561-1628,male,United Kingdom of Great Britain and Ireland,London,United Kingdom,Point(-0.1275 51.507222222),Brussels,Belgium,Point(4.351666666 50.846666666),English,organ
160,Giovanni Domenico da Nola,http://www.wikidata.org/entity/Q2395209,1510-1592,male,Kingdom of Naples,Nola,Italy,Point(14.533333333 40.933333333),Naples,Italy,Point(14.25 40.833333333),Italian,
161,Angelo Notari,http://www.wikidata.org/entity/Q2849490,1566-1663,male,Republic of Venice,Padua,Italy,Point(11.877777777 45.406388888),London,United Kingdom,Point(-0.1275 51.507222222),,
162,Pietro Maria Marsolo,http://www.wikidata.org/entity/Q3904046,1580-1615,male,,Messina,Italy,Point(15.554166666 38.193611111),Piacenza,Italy,Point(9.7 45.05),,
163,Pomponio Nenna,http://www.wikidata.org/entity/Q3907903,1550- 1613,male,,Bari,Italy,Point(16.866666666 41.125277777),Rome,Italy,Point(12.482777777 41.893055555),Italian,
164,Alessandro Orologio,http://www.wikidata.org/entity/Q3610181,1550-1633,male,,San Giorgio della Richinvelda,Italy,Point(12.866666666 46.05),Vienna,Austria,Point(16.3725 48.208333333),Italian,
165,Andrea Rota,http://www.wikidata.org/entity/Q3616007,1553-1597,male,,Bologna,Italy,Point(11.342777777 44.493888888),Bologna,Italy,Point(11.342777777 44.493888888),,
166,Robert Ramsey,http://www.wikidata.org/entity/Q3938401,1590-1644,male,United Kingdom,,,,,,,English,pipe organ
167,Jan Nasco,http://www.wikidata.org/entity/Q3767806,1510-1561,male,,,,,,,,,
168,John Milton,http://www.wikidata.org/entity/Q110935304,1608-1674,,,,,,,,,,
169,John Mundy,http://www.wikidata.org/entity/Q3809503,1555-1630,male,United Kingdom of Great Britain and Ireland,,,,Windsor,United Kingdom,Point(-0.6 51.483333333),,organ
170,Erasmo Marotta,http://www.wikidata.org/entity/Q3731086,1578-1641,male,,Randazzo,Italy,Point(14.95 37.883333333),Palermo,Italy,Point(13.361261944 38.115658055),,
171,Claudio Pari,http://www.wikidata.org/entity/Q5129392,1574-1619,male,,,,,,,,,
172,David Sacerdote,http://www.wikidata.org/entity/Q5239412,1550-1625,male,,Roure,Italy,Point(7.129432 45.001413),,,,,
173,Galeazzo Sabbatini,http://www.wikidata.org/entity/Q5518314,1597-1662,male,,,,,Pesaro,Italy,Point(12.9133 43.91015),,
174,Benedetto Pallavicino,http://www.wikidata.org/entity/Q4887229,1551-1601,male,,Cremona,Italy,Point(10.033333333 45.133333333),,,,Italian,organ
175,Giovan Leonardo Primavera,http://www.wikidata.org/entity/Q5563608,1540-1585,male,,Barletta,Italy,Point(16.283333333 41.316666666),,,,,
176,Ginés de Morata,http://www.wikidata.org/entity/Q5880038,1576,male,"['Spain', 'Portugal']",,,,,,,"['Latin', 'Spanish']",
177,Tiburtio Massaino,http://www.wikidata.org/entity/Q7800551,1550-1608,male,,Cremona,Italy,Point(10.033333333 45.133333333),Cremona,Italy,Point(10.033333333 45.133333333),,
178,Rinaldo del Mel,http://www.wikidata.org/entity/Q7334576,1554-1598,male,,Mechelen,Belgium,Point(4.480277777 51.028055555),,,,,
179,Stefano Rossetto,http://www.wikidata.org/entity/Q7606486,1560-1583,male,,,,,,,,,
180,Stephan Otto,http://www.wikidata.org/entity/Q7608155,1603-1656,male,Germany,,,,,,,German,
181,Francesco Portinaro,http://www.wikidata.org/entity/Q16863487,1520-1578,male,Republic of Venice,Padua,Italy,Point(11.877777777 45.406388888),Padua,Italy,Point(11.877777777 45.406388888),,
182,Hubert Naich,http://www.wikidata.org/entity/Q16863472,1513-1546,male,,,,,,,,,
183,Walter Porter,http://www.wikidata.org/entity/Q18759427,1587-1659,male,,,,,,,,,
184,Jeremy Savile,http://www.wikidata.org/entity/Q18810825,1651-1665,male,Kingdom of England,,,,,,,English,
185,Ippolito Sabino,http://www.wikidata.org/entity/Q49361116,1550-1593,male,,,,,,,,,
186,Giovan Domenico Montella,http://www.wikidata.org/entity/Q55998400,1570-1607,male,,,,,,,,,
187,Ambrosius Metzger,http://www.wikidata.org/entity/Q55847929,1573-1632,male,Germany,,,,,,,German,
188,Grammatio Metallo,http://www.wikidata.org/entity/Q61061769,1540-1615,male,,Province of Avellino,Italy,Point(14.789722222 40.915277777),,,,,
189,Daniel Norcome,http://www.wikidata.org/entity/Q55903969,1601,male,,,,,,,,,
190,Pietro Pace,http://www.wikidata.org/entity/Q63210400,1559-1622,male,,,,,,,,,
191,Filippo Nicoletti,http://www.wikidata.org/entity/Q87254387,1577-1620,male,,,,,,,,,
192,Domenico Micheli,http://www.wikidata.org/entity/Q87642969,1540-1590,male,,Bologna,Italy,Point(11.342777777 44.493888888),,,,,
193,Bartolomeo Ratti,http://www.wikidata.org/entity/Q88300377,1565-1634,male,Republic of Venice,,,,,,,,
194,Nathaniel Patrick,http://www.wikidata.org/entity/Q98915412,1590,male,United Kingdom,Worcester,United Kingdom,Point(-2.222222222 52.191111111),Worcester,United Kingdom,Point(-2.222222222 52.191111111),English,
